Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),Ar Abundance (/cc),STD (/cc)
2014,01,13,00,06,50.38,1509.96,829.21,-480.77, 51.10,28.77,-15.59,11.34,2.54e+03,1.64e+02
2014,01,13,00,06,51.63,1511.04,827.52,-480.21, 51.08,28.71,-15.58,11.33,2.34e+03,1.57e+02
2014,01,13,00,07,10.38,1527.01,802.10,-471.69, 50.78,27.71,-15.29,11.27,2.53e+03,1.63e+02
2014,01,13,00,07,11.63,1528.06,800.39,-471.12, 50.77,27.65,-15.28,11.26,2.03e+03,1.46e+02
2014,01,13,00,07,30.37,1543.52,774.72,-462.46, 50.47,26.65,-14.99,11.20,2.75e+03,1.70e+02
2014,01,13,00,07,31.62,1544.53,773.00,-461.88, 50.46,26.59,-14.97,11.19,2.28e+03,1.55e+02
2014,01,13,00,07,50.37,1559.50,747.06,-453.06, 50.17,25.60,-14.68,11.13,2.59e+03,1.65e+02
2014,01,13,00,07,51.62,1560.48,745.32,-452.47, 50.15,25.53,-14.66,11.12,2.37e+03,1.58e+02
2014,01,13,00,08,10.37,1574.94,719.14,-443.51, 49.86,24.54,-14.37,11.06,2.62e+03,1.66e+02
2014,01,13,00,08,11.62,1575.89,717.39,-442.91, 49.84,24.48,-14.35,11.05,2.51e+03,1.63e+02
2014,01,13,00,08,30.37,1589.84,690.97,-433.80, 49.56,23.49,-14.05,10.99,2.67e+03,1.68e+02
2014,01,13,00,08,31.62,1590.76,689.21,-433.19, 49.54,23.42,-14.03,10.98,2.20e+03,1.52e+02
2014,01,13,00,08,50.37,1604.20,662.57,-423.95, 49.27,22.44,-13.73,10.92,2.42e+03,1.60e+02
2014,01,13,00,08,51.62,1605.07,660.79,-423.33, 49.25,22.38,-13.71,10.91,2.86e+03,1.74e+02
2014,01,13,00,09,10.37,1617.99,633.93,-413.95, 48.97,21.40,-13.40,10.85,2.17e+03,1.51e+02
2014,01,13,00,09,11.62,1618.84,632.14,-413.32, 48.95,21.33,-13.38,10.84,2.64e+03,1.67e+02
2014,01,13,00,09,30.36,1631.22,605.09,-403.81, 48.68,20.35,-13.07,10.78,2.32e+03,1.56e+02
2014,01,13,00,09,31.61,1632.03,603.28,-403.17, 48.66,20.29,-13.05,10.77,2.32e+03,1.56e+02
2014,01,13,00,09,50.36,1643.90,576.03,-393.53, 48.40,19.31,-12.73,10.71,2.47e+03,1.61e+02
2014,01,13,00,09,51.61,1644.67,574.21,-392.88, 48.38,19.25,-12.71,10.70,2.41e+03,1.60e+02
2014,01,13,00,10,10.36,1656.00,546.77,-383.11, 48.11,18.27,-12.39,10.64,2.85e+03,1.74e+02
2014,01,13,00,10,11.61,1656.74,544.93,-382.46, 48.10,18.21,-12.37,10.63,2.50e+03,1.63e+02
2014,01,13,00,10,30.36,1667.53,517.31,-372.57, 47.84,17.24,-12.05,10.57,2.53e+03,1.64e+02
2014,01,13,00,10,31.61,1668.23,515.47,-371.90, 47.82,17.17,-12.02,10.56,2.27e+03,1.55e+02
2014,01,13,00,10,50.36,1678.48,487.68,-361.89, 47.56,16.20,-11.70,10.50,2.59e+03,1.65e+02
2014,01,13,00,10,51.61,1679.14,485.82,-361.22, 47.54,16.14,-11.68,10.50,2.62e+03,1.66e+02
2014,01,13,00,11,10.36,1688.85,457.88,-351.09, 47.29,15.17,-11.35,10.43,2.88e+03,1.74e+02
2014,01,13,00,11,11.61,1689.48,456.01,-350.41, 47.27,15.10,-11.32,10.43,2.66e+03,1.68e+02
2014,01,13,00,11,30.35,1698.63,427.93,-340.17, 47.02,14.14,-10.99,10.36,2.94e+03,1.76e+02
2014,01,13,00,11,31.60,1699.22,426.05,-339.48, 47.01,14.08,-10.97,10.36,2.63e+03,1.67e+02
2014,01,13,00,11,50.35,1707.82,397.82,-329.13, 46.76,13.11,-10.63,10.29,2.78e+03,1.72e+02
2014,01,13,00,11,51.60,1708.37,395.93,-328.44, 46.74,13.05,-10.61,10.29,2.62e+03,1.67e+02
2014,01,13,00,12,10.35,1716.42,367.57,-317.98, 46.50,12.09,-10.27,10.23,2.65e+03,1.67e+02
2014,01,13,00,12,11.60,1716.94,365.67,-317.27, 46.49,12.02,-10.24,10.22,2.82e+03,1.73e+02
2014,01,13,00,12,30.35,1724.42,337.19,-306.71, 46.25,11.06,-9.90,10.16,2.56e+03,1.65e+02
2014,01,13,00,12,31.60,1724.90,335.29,-306.00, 46.23,11.00,-9.88,10.15,2.65e+03,1.68e+02
2014,01,13,00,12,50.35,1731.83,306.70,-295.34, 46.00,10.04,-9.53,10.09,2.83e+03,1.73e+02
2014,01,13,00,12,51.60,1732.27,304.79,-294.63, 45.98, 9.98,-9.51,10.09,2.85e+03,1.74e+02
2014,01,13,00,13,10.35,1738.63,276.09,-283.87, 45.75, 9.02,-9.16,10.02,2.17e+03,1.52e+02
2014,01,13,00,13,11.60,1739.03,274.18,-283.15, 45.74, 8.96,-9.14,10.02,2.65e+03,1.68e+02
2014,01,13,00,13,30.34,1744.82,245.41,-272.31, 45.51, 8.01,-8.79, 9.95,2.28e+03,1.56e+02
2014,01,13,00,13,31.59,1745.19,243.49,-271.58, 45.50, 7.94,-8.76, 9.95,2.55e+03,1.65e+02
2014,01,13,00,13,50.34,1750.41,214.63,-260.64, 45.28, 6.99,-8.41, 9.89,2.89e+03,1.75e+02
2014,01,13,00,13,51.59,1750.74,212.70,-259.91, 45.26, 6.93,-8.38, 9.88,3.32e+03,1.88e+02
2014,01,13,00,14,10.34,1755.39,183.77,-248.89, 45.05, 5.98,-8.03, 9.82,2.68e+03,1.69e+02
2014,01,13,00,14,11.59,1755.68,181.84,-248.15, 45.03, 5.91,-8.00, 9.82,3.07e+03,1.81e+02
2014,01,13,00,14,30.33,1759.76,152.86,-237.05, 44.82, 4.96,-7.64, 9.75,2.59e+03,1.66e+02
2014,01,13,00,14,31.58,1760.01,150.93,-236.31, 44.81, 4.90,-7.62, 9.75,2.60e+03,1.67e+02
2014,01,13,00,14,50.33,1763.51,121.89,-225.13, 44.60, 3.95,-7.26, 9.69,3.28e+03,1.87e+02
2014,01,13,00,14,51.58,1763.73,119.95,-224.38, 44.58, 3.89,-7.23, 9.68,3.22e+03,1.85e+02
2014,01,13,00,15,10.33,1766.65, 90.87,-213.13, 44.38, 2.94,-6.87, 9.62,2.53e+03,1.64e+02
2014,01,13,00,15,11.58,1766.83, 88.93,-212.38, 44.37, 2.88,-6.85, 9.61,2.83e+03,1.74e+02
2014,01,13,00,15,30.33,1769.18, 59.82,-201.05, 44.17, 1.94,-6.48, 9.55,2.79e+03,1.73e+02
2014,01,13,00,15,31.58,1769.32, 57.88,-200.30, 44.16, 1.87,-6.46, 9.55,2.75e+03,1.71e+02
2014,01,13,00,15,50.33,1771.09, 28.75,-188.91, 43.96, 0.93,-6.09, 9.49,2.79e+03,1.73e+02
2014,01,13,00,15,51.58,1771.19, 26.81,-188.15, 43.95, 0.87,-6.06, 9.48,2.70e+03,1.70e+02
2014,01,13,00,16,10.33,1772.38, -2.33,-176.70, 43.76,-0.08,-5.69, 9.42,2.88e+03,1.75e+02
2014,01,13,00,16,11.58,1772.44, -4.27,-175.93, 43.75,-0.14,-5.67, 9.42,2.78e+03,1.72e+02
2014,01,13,00,16,30.32,1773.05,-33.40,-164.43, 43.57,-1.08,-5.30, 9.35,2.89e+03,1.76e+02
2014,01,13,00,16,31.57,1773.07,-35.34,-163.66, 43.56,-1.14,-5.27, 9.35,2.63e+03,1.68e+02
2014,01,13,00,16,50.32,1773.10,-64.46,-152.10, 43.38,-2.08,-4.90, 9.29,2.87e+03,1.75e+02
2014,01,13,00,16,51.57,1773.08,-66.40,-151.33, 43.37,-2.14,-4.87, 9.28,2.58e+03,1.66e+02
