Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),Ar Abundance (/cc),STD (/cc)
2014,03,27,06,53,26.18,-1417.88,-1071.11,-279.35, 61.40,-142.93,-8.93,11.34,1.22e+03,1.16e+02
2014,03,27,06,53,27.43,-1419.11,-1069.61,-278.61, 61.36,-142.99,-8.91,11.33,1.48e+03,1.28e+02
2014,03,27,06,53,28.68,-1420.33,-1068.10,-277.87, 61.32,-143.06,-8.89,11.33,1.45e+03,1.26e+02
2014,03,27,06,53,41.18,-1432.46,-1052.96,-270.47, 60.88,-143.68,-8.65,11.29,1.29e+03,1.19e+02
2014,03,27,06,54,23.42,-1472.03,-1000.80,-245.20, 59.43,-145.79,-7.84,11.15,1.16e+03,1.13e+02
2014,03,27,06,54,24.67,-1473.17,-999.23,-244.44, 59.39,-145.85,-7.82,11.14,1.43e+03,1.26e+02
2014,03,27,06,54,25.92,-1474.30,-997.66,-243.69, 59.34,-145.91,-7.79,11.14,1.45e+03,1.26e+02
2014,03,27,06,54,38.42,-1485.55,-981.90,-236.13, 58.92,-146.54,-7.55,11.10,1.42e+03,1.25e+02
2014,03,27,06,55,20.66,-1522.08,-927.70,-210.37, 57.48,-148.64,-6.73,10.96,1.15e+03,1.12e+02
2014,03,27,06,55,21.91,-1523.13,-926.07,-209.60, 57.44,-148.70,-6.71,10.95,1.64e+03,1.34e+02
2014,03,27,06,55,23.16,-1524.17,-924.44,-208.83, 57.40,-148.76,-6.68,10.95,1.40e+03,1.24e+02
2014,03,27,06,55,35.66,-1534.50,-908.10,-201.14, 56.98,-149.38,-6.44,10.91,1.44e+03,1.26e+02
2014,03,27,06,56,17.91,-1567.88,-851.99,-174.95, 55.57,-151.48,-5.60,10.77,1.69e+03,1.36e+02
2014,03,27,06,56,19.16,-1568.84,-850.31,-174.17, 55.53,-151.54,-5.57,10.76,1.40e+03,1.24e+02
2014,03,27,06,56,20.41,-1569.79,-848.63,-173.39, 55.49,-151.60,-5.55,10.76,1.49e+03,1.28e+02
2014,03,27,06,56,32.91,-1579.16,-831.75,-165.58, 55.08,-152.22,-5.30,10.72,1.57e+03,1.32e+02
2014,03,27,06,57,15.15,-1609.29,-773.91,-139.05, 53.71,-154.32,-4.45,10.58,1.45e+03,1.26e+02
2014,03,27,06,57,16.40,-1610.14,-772.18,-138.26, 53.67,-154.38,-4.43,10.58,1.61e+03,1.33e+02
