Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),He Abundance (/cc),STD (/cc)
2014,03,02,18,04,55.06,-1634.72,723.54,-375.59, 89.31,156.13,-11.87,11.36,1.79e+03,7.24e+02
2014,03,02,18,04,56.31,-1634.00,725.34,-374.91, 89.25,156.06,-11.84,11.36,1.48e+03,6.60e+02
2014,03,02,18,04,57.56,-1633.28,727.15,-374.23, 89.18,156.00,-11.82,11.35,5.95e+02,4.18e+02
2014,03,02,18,05,36.56,-1609.85,782.90,-352.88, 87.18,154.07,-11.15,11.22,2.38e+03,8.36e+02
2014,03,02,18,05,52.30,-1599.83,805.13,-344.13, 86.37,153.29,-10.88,11.17,1.19e+03,5.91e+02
2014,03,02,18,05,53.55,-1599.02,806.89,-343.44, 86.30,153.22,-10.85,11.17,5.95e+02,4.18e+02
2014,03,02,18,05,54.80,-1598.21,808.65,-342.74, 86.24,153.16,-10.83,11.16,2.94e+02,2.94e+02
2014,03,02,18,06,33.80,-1571.87,862.95,-320.76, 84.23,151.23,-10.14,11.03,8.89e+02,5.11e+02
2014,03,02,18,06,49.55,-1560.68,884.59,-311.77, 83.42,150.46,-9.86,10.98,1.48e+03,6.60e+02
2014,03,02,18,06,50.80,-1559.77,886.30,-311.05, 83.36,150.39,-9.84,10.98,1.19e+03,5.91e+02
2014,03,02,18,06,52.05,-1558.87,888.01,-310.33, 83.30,150.33,-9.81,10.97,2.08e+03,7.82e+02
2014,03,02,18,07,31.05,-1529.67,940.72,-287.78, 81.30,148.41,-9.10,10.85,1.79e+03,7.24e+02
2014,03,02,18,07,46.79,-1517.35,961.67,-278.57, 80.50,147.63,-8.81,10.80,1.79e+03,7.25e+02
2014,03,02,18,07,48.04,-1516.36,963.32,-277.84, 80.43,147.57,-8.79,10.79,2.68e+03,8.87e+02
2014,03,02,18,07,49.29,-1515.36,964.97,-277.11, 80.37,147.51,-8.77,10.79,1.19e+03,5.92e+02
2014,03,02,18,08,28.29,-1483.38,1015.94,-254.04, 78.39,145.59,-8.04,10.66,8.90e+02,5.12e+02
2014,03,02,18,08,44.03,-1469.94,1036.16,-244.64, 77.59,144.82,-7.75,10.61,8.90e+02,5.12e+02
2014,03,02,18,08,45.28,-1468.86,1037.75,-243.89, 77.53,144.76,-7.72,10.60,2.38e+03,8.37e+02
2014,03,02,18,08,46.53,-1467.78,1039.35,-243.14, 77.46,144.70,-7.70,10.60,1.79e+03,7.25e+02
2014,03,02,18,09,25.53,-1433.07,1088.43,-219.61, 75.50,142.78,-6.96,10.47,1.19e+03,5.92e+02
2014,03,02,18,09,41.28,-1418.55,1107.86,-210.03, 74.71,142.01,-6.66,10.42,8.91e+02,5.12e+02
2014,03,02,18,09,42.53,-1417.38,1109.39,-209.27, 74.65,141.95,-6.63,10.42,2.98e+03,9.37e+02
