Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),Ne Abundance (/cc),STD (/cc)
2014,03,16,20,26,51.26,-1718.82,-111.01,521.00, 62.07,-176.30,16.83, 0.65,0.00e+00,   NaN
2014,03,16,20,26,52.51,-1719.13,-109.04,520.46, 62.09,-176.37,16.81, 0.64,0.00e+00,   NaN
2014,03,16,20,26,53.76,-1719.43,-107.07,519.92, 62.10,-176.44,16.79, 0.64,0.00e+00,   NaN
2014,03,16,20,27,12.51,-1723.72,-77.49,511.73, 62.35,-177.43,16.52, 0.57,0.00e+00,   NaN
2014,03,16,20,27,48.50,-1730.52,-20.66,495.60, 62.81,-179.32,15.98, 0.45,0.00e+00,   NaN
2014,03,16,20,27,49.75,-1730.73,-18.69,495.02, 62.83,-179.38,15.96, 0.44,0.00e+00,   NaN
2014,03,16,20,27,51.00,-1730.93,-16.71,494.45, 62.84,-179.45,15.94, 0.44,0.00e+00,   NaN
2014,03,16,20,28,9.75,-1733.65, 12.91,485.81, 63.08,179.57,15.65, 0.37,2.45e+03,4.24e+02
2014,03,16,20,28,45.75,-1737.44, 69.77,468.82, 63.53,177.70,15.09, 0.25,2.20e+03,4.09e+02
2014,03,16,20,28,47.00,-1737.54, 71.74,468.22, 63.55,177.64,15.07, 0.24,1.65e+03,3.65e+02
2014,03,16,20,28,48.25,-1737.63, 73.71,467.62, 63.56,177.57,15.05, 0.24,1.71e+03,3.70e+02
2014,03,16,20,29,7.00,-1738.78,103.29,458.55, 63.80,176.60,14.75, 0.17,1.42e+03,3.45e+02
2014,03,16,20,29,42.99,-1739.55,159.99,440.76, 64.24,174.75,14.16, 0.05,1.76e+03,3.80e+02
2014,03,16,20,29,44.24,-1739.54,161.95,440.14, 64.25,174.68,14.14, 0.04,2.13e+03,4.10e+02
2014,03,16,20,29,45.49,-1739.53,163.92,439.51, 64.27,174.62,14.12, 0.04,1.39e+03,3.49e+02
2014,03,16,20,30,4.24,-1739.11,193.38,430.03, 64.50,173.66,13.81,23.98,1.38e+03,3.53e+02
2014,03,16,20,30,40.24,-1736.86,249.78,411.49, 64.93,171.82,13.20,23.85,1.70e+03,3.80e+02
2014,03,16,20,30,41.49,-1736.74,251.73,410.84, 64.94,171.75,13.18,23.85,1.64e+03,3.75e+02
2014,03,16,20,30,42.74,-1736.63,253.69,410.18, 64.96,171.69,13.15,23.85,1.33e+03,3.48e+02
2014,03,16,20,31,1.49,-1734.63,282.95,400.33, 65.18,170.74,12.83,23.78,1.59e+03,3.70e+02
2014,03,16,20,31,37.48,-1729.37,338.87,381.09, 65.59,168.91,12.20,23.66,1.27e+03,3.45e+02
2014,03,16,20,31,38.73,-1729.15,340.81,380.41, 65.61,168.85,12.18,23.66,2.72e+03,4.57e+02
2014,03,16,20,31,39.98,-1728.93,342.74,379.74, 65.62,168.79,12.16,23.65,1.14e+03,3.33e+02
2014,03,16,20,31,58.73,-1725.37,371.72,369.53, 65.83,167.84,11.83,23.59,1.96e+03,4.04e+02
2014,03,16,20,32,34.72,-1717.12,427.03,349.64, 66.24,166.03,11.18,23.47,1.73e+03,3.83e+02
2014,03,16,20,32,35.97,-1716.80,428.94,348.95, 66.25,165.97,11.16,23.46,2.11e+03,4.13e+02
2014,03,16,20,32,37.22,-1716.47,430.86,348.25, 66.26,165.91,11.13,23.46,1.22e+03,3.39e+02
2014,03,16,20,32,55.97,-1711.36,459.47,337.72, 66.47,164.97,10.79,23.40,1.62e+03,3.72e+02
2014,03,16,20,33,31.97,-1700.14,514.03,317.24, 66.85,163.18,10.13,23.28,2.06e+03,4.10e+02
2014,03,16,20,33,33.22,-1699.71,515.92,316.52, 66.87,163.12,10.10,23.27,2.19e+03,4.19e+02
2014,03,16,20,33,34.47,-1699.29,517.80,315.80, 66.88,163.05,10.08,23.27,7.24e+02,2.89e+02
2014,03,16,20,33,53.22,-1692.64,545.98,304.98, 67.08,162.12, 9.73,23.21,1.61e+03,3.75e+02
2014,03,16,20,34,29.21,-1678.48,599.61,283.96, 67.45,160.34, 9.05,23.09,1.38e+03,3.52e+02
2014,03,16,20,34,30.46,-1677.96,601.46,283.23, 67.46,160.28, 9.03,23.08,1.89e+03,3.96e+02
2014,03,16,20,34,31.71,-1677.43,603.31,282.49, 67.47,160.22, 9.00,23.08,1.83e+03,3.90e+02
2014,03,16,20,34,50.46,-1669.27,630.97,271.41, 67.66,159.29, 8.65,23.02,1.72e+03,3.79e+02
2014,03,16,20,35,26.46,-1652.21,683.55,249.91, 68.01,157.52, 7.96,22.90,1.09e+03,3.22e+02
2014,03,16,20,35,27.71,-1651.59,685.36,249.16, 68.02,157.46, 7.93,22.90,1.86e+03,3.91e+02
2014,03,16,20,35,28.96,-1650.96,687.18,248.41, 68.03,157.40, 7.91,22.89,1.86e+03,3.91e+02
2014,03,16,20,35,47.71,-1641.30,714.24,237.09, 68.21,156.48, 7.55,22.83,1.48e+03,3.59e+02
2014,03,16,20,36,23.70,-1621.41,765.61,215.18, 68.54,154.72, 6.84,22.72,1.35e+03,3.48e+02
2014,03,16,20,36,24.95,-1620.69,767.38,214.41, 68.56,154.66, 6.82,22.71,2.06e+03,4.08e+02
2014,03,16,20,36,26.20,-1619.97,769.14,213.65, 68.57,154.60, 6.79,22.71,2.32e+03,4.28e+02
2014,03,16,20,36,44.95,-1608.84,795.55,202.13, 68.73,153.69, 6.43,22.65,1.35e+03,3.49e+02
2014,03,16,20,37,20.95,-1586.16,845.58,179.85, 69.05,151.94, 5.71,22.53,1.91e+03,4.03e+02
2014,03,16,20,37,22.20,-1585.34,847.30,179.08, 69.06,151.88, 5.69,22.53,1.39e+03,3.59e+02
2014,03,16,20,37,23.45,-1584.52,849.02,178.30, 69.07,151.82, 5.66,22.52,1.71e+03,3.87e+02
2014,03,16,20,37,42.20,-1571.96,874.68,166.61, 69.23,150.91, 5.29,22.46,1.37e+03,3.62e+02
2014,03,16,20,38,18.19,-1546.57,923.22,144.04, 69.52,149.16, 4.57,22.35,1.39e+03,3.61e+02
2014,03,16,20,38,19.44,-1545.65,924.89,143.26, 69.53,149.10, 4.55,22.34,9.36e+02,3.18e+02
2014,03,16,20,38,20.69,-1544.74,926.56,142.47, 69.54,149.04, 4.52,22.34,2.05e+03,4.15e+02
2014,03,16,20,38,39.44,-1530.78,951.41,130.64, 69.68,148.14, 4.15,22.28,6.21e+02,2.81e+02
2014,03,16,20,39,15.43,-1502.74,998.34,107.84, 69.95,146.40, 3.42,22.16,1.14e+03,3.36e+02
2014,03,16,20,39,16.68,-1501.74,999.95,107.04, 69.96,146.34, 3.40,22.16,1.07e+03,3.30e+02
2014,03,16,20,39,17.93,-1500.73,1001.56,106.25, 69.97,146.28, 3.37,22.15,2.06e+03,4.15e+02
2014,03,16,20,39,36.68,-1485.42,1025.54, 94.32, 70.11,145.38, 2.99,22.09,1.68e+03,3.84e+02
2014,03,16,20,40,12.68,-1454.79,1070.74, 71.33, 70.36,143.65, 2.26,21.98,5.67e+02,2.75e+02
2014,03,16,20,40,13.93,-1453.70,1072.28, 70.53, 70.37,143.59, 2.24,21.98,8.97e+02,3.11e+02
2014,03,16,20,40,15.18,-1452.61,1073.83, 69.73, 70.37,143.53, 2.21,21.97,8.97e+02,3.11e+02
2014,03,16,20,40,33.93,-1435.98,1096.87, 57.73, 70.50,142.63, 1.83,21.91,1.16e+03,3.38e+02
2014,03,16,20,41,9.92,-1402.88,1140.19, 34.64, 70.72,140.90, 1.10,21.80,1.67e+03,3.89e+02
2014,03,16,20,41,11.17,-1401.70,1141.68, 33.83, 70.73,140.84, 1.07,21.79,1.67e+03,3.89e+02
2014,03,16,20,41,12.42,-1400.52,1143.16, 33.03, 70.74,140.78, 1.05,21.79,8.76e+02,3.16e+02
2014,03,16,20,41,31.17,-1382.62,1165.20, 20.98, 70.85,139.88, 0.66,21.73,9.25e+02,3.24e+02
2014,03,16,20,42,7.17,-1347.12,1206.55, -2.17, 71.05,138.15,-0.07,21.62,1.46e+03,3.73e+02
2014,03,16,20,42,8.42,-1345.86,1207.96, -2.97, 71.06,138.09,-0.09,21.61,1.40e+03,3.67e+02
2014,03,16,20,42,9.67,-1344.60,1209.37, -3.77, 71.06,138.03,-0.12,21.61,8.66e+02,3.16e+02
2014,03,16,20,42,28.42,-1325.48,1230.35,-15.83, 71.16,137.13,-0.50,21.55,1.16e+03,3.40e+02
2014,03,16,20,43,4.41,-1287.69,1269.60,-38.96, 71.34,135.41,-1.23,21.43,1.08e+03,3.35e+02
2014,03,16,20,43,5.66,-1286.35,1270.93,-39.76, 71.34,135.35,-1.26,21.43,6.19e+02,2.86e+02
2014,03,16,20,43,6.91,-1285.01,1272.27,-40.56, 71.35,135.29,-1.28,21.43,1.15e+03,3.42e+02
2014,03,16,20,43,25.66,-1264.72,1292.13,-52.59, 71.43,134.39,-1.67,21.37,1.02e+03,3.31e+02
2014,03,16,20,44,1.66,-1224.73,1329.19,-75.65, 71.58,132.66,-2.40,21.25,1.68e+03,3.94e+02
2014,03,16,20,44,2.91,-1223.32,1330.45,-76.45, 71.59,132.60,-2.42,21.25,1.14e+03,3.46e+02
2014,03,16,20,44,4.16,-1221.90,1331.71,-77.25, 71.59,132.54,-2.45,21.24,1.48e+03,3.77e+02
2014,03,16,20,44,22.91,-1200.50,1350.39,-89.22, 71.66,131.64,-2.83,21.18,1.53e+03,3.84e+02
2014,03,16,20,44,58.90,-1158.44,1385.14,-112.13, 71.79,129.91,-3.55,21.07,1.09e+03,3.39e+02
2014,03,16,20,45,0.15,-1156.96,1386.32,-112.93, 71.79,129.85,-3.58,21.07,7.59e+02,3.05e+02
2014,03,16,20,45,1.40,-1155.47,1387.49,-113.72, 71.80,129.79,-3.60,21.06,6.92e+02,2.97e+02
2014,03,16,20,45,20.15,-1133.02,1404.95,-125.60, 71.85,128.88,-3.98,21.00,1.02e+03,3.31e+02
2014,03,16,20,45,56.14,-1088.99,1437.30,-148.31, 71.95,127.15,-4.70,20.89,1.18e+03,3.43e+02
2014,03,16,20,45,57.39,-1087.44,1438.40,-149.10, 71.95,127.09,-4.73,20.88,1.12e+03,3.36e+02
