Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),Ar Abundance (/cc),STD (/cc)
2013,12,30,15,47,44.98,-1725.58,-311.79,-521.18, 91.94,-169.76,-16.55,11.28,6.92e+02,8.81e+01
2013,12,30,15,47,46.23,-1726.03,-309.86,-520.64, 91.88,-169.82,-16.54,11.27,9.94e+02,1.05e+02
2013,12,30,15,48,4.98,-1732.52,-280.91,-512.45, 91.03,-170.79,-16.28,11.21,7.91e+02,9.42e+01
2013,12,30,15,48,6.23,-1732.94,-278.98,-511.90, 90.97,-170.85,-16.26,11.20,8.92e+02,9.99e+01
2013,12,30,15,48,24.97,-1738.91,-249.96,-503.56, 90.13,-171.82,-15.99,11.14,8.68e+02,9.87e+01
2013,12,30,15,48,26.22,-1739.29,-248.02,-503.00, 90.07,-171.88,-15.98,11.13,6.89e+02,8.80e+01
2013,12,30,15,48,44.97,-1744.73,-218.91,-494.50, 89.22,-172.85,-15.71,11.07,9.90e+02,1.05e+02
2013,12,30,15,48,46.22,-1745.08,-216.97,-493.93, 89.16,-172.91,-15.69,11.07,1.07e+03,1.09e+02
2013,12,30,15,49,4.97,-1749.99,-187.79,-485.28, 88.31,-173.88,-15.41,11.00,8.77e+02,9.92e+01
2013,12,30,15,49,6.22,-1750.30,-185.84,-484.70, 88.26,-173.94,-15.40,11.00,9.22e+02,1.02e+02
2013,12,30,15,49,24.97,-1754.68,-156.61,-475.91, 87.41,-174.90,-15.12,10.93,8.31e+02,9.67e+01
2013,12,30,15,49,26.22,-1754.95,-154.66,-475.32, 87.35,-174.96,-15.10,10.93,6.63e+02,8.66e+01
2013,12,30,15,49,44.97,-1758.80,-125.38,-466.38, 86.50,-175.92,-14.82,10.86,9.53e+02,1.03e+02
2013,12,30,15,49,46.22,-1759.04,-123.43,-465.78, 86.44,-175.99,-14.80,10.86,7.18e+02,9.01e+01
2013,12,30,15,50,4.97,-1762.35,-94.11,-456.70, 85.60,-176.94,-14.51,10.80,6.50e+02,8.59e+01
2013,12,30,15,50,6.22,-1762.55,-92.15,-456.09, 85.54,-177.01,-14.49,10.79,6.50e+02,8.59e+01
2013,12,30,15,50,24.96,-1765.33,-62.82,-446.88, 84.69,-177.96,-14.20,10.73,1.02e+03,1.07e+02
2013,12,30,15,50,26.21,-1765.49,-60.86,-446.26, 84.64,-178.03,-14.18,10.72,9.73e+02,1.05e+02
2013,12,30,15,50,44.96,-1767.73,-31.49,-436.91, 83.79,-178.98,-13.88,10.66,8.94e+02,1.00e+02
2013,12,30,15,50,46.21,-1767.86,-29.54,-436.28, 83.73,-179.04,-13.86,10.66,9.05e+02,1.01e+02
2013,12,30,15,51,4.96,-1769.55, -0.16,-426.79, 82.89,-179.99,-13.56,10.59,8.70e+02,9.92e+01
2013,12,30,15,51,6.21,-1769.64,  1.80,-426.15, 82.83,179.94,-13.54,10.59,9.82e+02,1.05e+02
2013,12,30,15,51,24.96,-1770.79, 31.18,-416.54, 81.99,178.99,-13.23,10.53,8.14e+02,9.60e+01
2013,12,30,15,51,26.21,-1770.85, 33.13,-415.89, 81.93,178.93,-13.21,10.52,9.81e+02,1.05e+02
2013,12,30,15,51,44.96,-1771.45, 62.50,-406.15, 81.09,177.98,-12.91,10.46,8.57e+02,9.86e+01
2013,12,30,15,51,46.21,-1771.48, 64.46,-405.49, 81.04,177.92,-12.88,10.45,1.06e+03,1.09e+02
2013,12,30,15,52,4.96,-1771.54, 93.80,-395.62, 80.20,176.97,-12.57,10.39,9.46e+02,1.03e+02
2013,12,30,15,52,6.21,-1771.52, 95.76,-394.96, 80.14,176.91,-12.55,10.39,8.56e+02,9.86e+01
2013,12,30,15,52,24.95,-1771.04,125.06,-384.98, 79.31,175.96,-12.23,10.32,1.02e+03,1.08e+02
2013,12,30,15,52,26.20,-1770.99,127.02,-384.31, 79.25,175.90,-12.21,10.32,1.27e+03,1.19e+02
2013,12,30,15,52,44.95,-1769.95,156.30,-374.20, 78.42,174.95,-11.89,10.26,7.55e+02,9.29e+01
2013,12,30,15,52,46.20,-1769.87,158.25,-373.52, 78.36,174.89,-11.87,10.25,1.23e+03,1.18e+02
2013,12,30,15,53,4.95,-1768.29,187.48,-363.30, 77.53,173.95,-11.55,10.19,1.10e+03,1.11e+02
2013,12,30,15,53,6.20,-1768.16,189.42,-362.61, 77.47,173.89,-11.53,10.19,1.22e+03,1.17e+02
2013,12,30,15,53,24.94,-1766.04,218.58,-352.28, 76.65,172.94,-11.20,10.12,9.31e+02,1.03e+02
2013,12,30,15,53,26.19,-1765.88,220.52,-351.59, 76.59,172.88,-11.18,10.12,9.64e+02,1.05e+02
2013,12,30,15,53,44.94,-1763.20,249.63,-341.15, 75.77,171.94,-10.84,10.06,9.30e+02,1.03e+02
2013,12,30,15,53,46.19,-1763.01,251.57,-340.45, 75.71,171.88,-10.82,10.05,9.19e+02,1.02e+02
2013,12,30,15,54,4.94,-1759.79,280.59,-329.90, 74.89,170.94,-10.49, 9.99,1.16e+03,1.15e+02
2013,12,30,15,54,6.19,-1759.55,282.52,-329.19, 74.84,170.88,-10.47, 9.99,9.85e+02,1.06e+02
2013,12,30,15,54,24.94,-1755.78,311.46,-318.54, 74.02,169.94,-10.13, 9.92,1.23e+03,1.18e+02
2013,12,30,15,54,26.19,-1755.52,313.39,-317.83, 73.97,169.88,-10.11, 9.92,9.06e+02,1.02e+02
2013,12,30,15,54,44.94,-1751.20,342.23,-307.08, 73.16,168.94,-9.76, 9.86,1.38e+03,1.25e+02
2013,12,30,15,54,46.19,-1750.90,344.15,-306.36, 73.11,168.88,-9.74, 9.85,1.26e+03,1.20e+02
2013,12,30,15,55,4.94,-1746.04,372.89,-295.52, 72.30,167.94,-9.40, 9.79,1.36e+03,1.24e+02
2013,12,30,15,55,6.19,-1745.69,374.80,-294.79, 72.25,167.88,-9.38, 9.79,1.07e+03,1.10e+02
2013,12,30,15,55,24.93,-1740.29,403.40,-283.86, 71.45,166.95,-9.03, 9.72,1.22e+03,1.17e+02
2013,12,30,15,55,26.18,-1739.91,405.31,-283.13, 71.39,166.89,-9.01, 9.72,1.18e+03,1.16e+02
2013,12,30,15,55,44.93,-1733.97,433.80,-272.10, 70.60,165.95,-8.66, 9.66,1.04e+03,1.09e+02
2013,12,30,15,55,46.18,-1733.55,435.69,-271.37, 70.55,165.89,-8.63, 9.65,1.29e+03,1.21e+02
2013,12,30,15,56,4.93,-1727.06,464.05,-260.26, 69.76,164.96,-8.28, 9.59,1.17e+03,1.15e+02
2013,12,30,15,56,6.18,-1726.61,465.93,-259.51, 69.70,164.90,-8.26, 9.59,1.16e+03,1.15e+02
2013,12,30,15,56,24.92,-1719.58,494.13,-248.33, 68.92,163.97,-7.90, 9.53,1.32e+03,1.23e+02
2013,12,30,15,56,26.17,-1719.10,496.01,-247.58, 68.87,163.91,-7.88, 9.52,1.46e+03,1.28e+02
2013,12,30,15,56,44.92,-1711.52,524.06,-236.32, 68.09,162.98,-7.52, 9.46,1.19e+03,1.17e+02
2013,12,30,15,56,46.17,-1711.00,525.93,-235.56, 68.04,162.91,-7.50, 9.46,1.28e+03,1.21e+02
2013,12,30,15,57,4.92,-1702.89,553.82,-224.22, 67.27,161.98,-7.14, 9.40,1.29e+03,1.21e+02
2013,12,30,15,57,6.17,-1702.34,555.67,-223.46, 67.22,161.92,-7.11, 9.39,1.09e+03,1.12e+02
2013,12,30,15,57,24.92,-1693.69,583.39,-212.05, 66.46,160.99,-6.75, 9.33,1.21e+03,1.18e+02
2013,12,30,15,57,26.17,-1693.10,585.23,-211.29, 66.41,160.93,-6.73, 9.33,1.82e+03,1.43e+02
2013,12,30,15,57,44.92,-1683.92,612.76,-199.81, 65.65,160.00,-6.36, 9.26,9.77e+02,1.06e+02
2013,12,30,15,57,46.17,-1683.29,614.59,-199.04, 65.60,159.94,-6.34, 9.26,1.41e+03,1.27e+02
2013,12,30,15,58,4.92,-1673.58,641.93,-187.50, 64.85,159.01,-5.97, 9.20,1.32e+03,1.23e+02
2013,12,30,15,58,6.17,-1672.92,643.75,-186.73, 64.80,158.95,-5.95, 9.20,1.24e+03,1.19e+02
2013,12,30,15,58,24.91,-1662.68,670.87,-175.14, 64.06,158.03,-5.58, 9.13,1.39e+03,1.26e+02
2013,12,30,15,58,26.16,-1661.98,672.67,-174.36, 64.01,157.96,-5.55, 9.13,1.13e+03,1.14e+02
2013,12,30,15,58,44.91,-1651.22,699.59,-162.71, 63.27,157.04,-5.18, 9.07,1.31e+03,1.22e+02
2013,12,30,15,58,46.16,-1650.48,701.38,-161.93, 63.23,156.98,-5.16, 9.06,1.35e+03,1.24e+02
