Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),Ne Abundance (/cc),STD (/cc)
2014,01,29,09,59,12.19,-1753.41,-249.61,-448.83, 89.67,-171.90,-14.22,11.26,0.00e+00,   NaN
2014,01,29,09,59,13.44,-1753.78,-247.69,-448.21, 89.62,-171.96,-14.20,11.25,0.00e+00,   NaN
2014,01,29,09,59,14.69,-1754.15,-245.77,-447.59, 89.56,-172.02,-14.18,11.25,0.00e+00,   NaN
2014,01,29,09,59,33.44,-1759.41,-216.86,-438.27, 88.70,-172.97,-13.89,11.18,0.00e+00,   NaN
2014,01,29,10,00,9.44,-1768.12,-161.20,-420.01, 87.06,-174.79,-13.31,11.06,0.00e+00,   NaN
2014,01,29,10,00,10.69,-1768.39,-159.27,-419.37, 87.00,-174.85,-13.29,11.06,0.00e+00,   NaN
2014,01,29,10,00,11.94,-1768.66,-157.33,-418.73, 86.94,-174.92,-13.27,11.05,0.00e+00,   NaN
2014,01,29,10,00,30.69,-1772.39,-128.26,-409.03, 86.09,-175.86,-12.96,10.99,5.34e+02,4.10e+02
2014,01,29,10,01,6.68,-1778.13,-72.37,-390.09, 84.45,-177.67,-12.36,10.87,0.00e+00,3.41e+02
2014,01,29,10,01,7.93,-1778.29,-70.43,-389.42, 84.40,-177.73,-12.34,10.87,2.51e+02,3.87e+02
2014,01,29,10,01,9.18,-1778.46,-68.49,-388.76, 84.34,-177.79,-12.32,10.86,1.91e+02,3.82e+02
2014,01,29,10,01,27.93,-1780.63,-39.34,-378.71, 83.49,-178.73,-12.00,10.80,0.00e+00,3.06e+02
2014,01,29,10,02,3.92,-1783.38, 16.65,-359.13, 81.86,179.47,-11.39,10.68,3.72e+02,3.90e+02
2014,01,29,10,02,5.17,-1783.44, 18.59,-358.44, 81.80,179.40,-11.36,10.67,0.00e+00,3.49e+02
2014,01,29,10,02,6.42,-1783.50, 20.54,-357.75, 81.74,179.34,-11.34,10.67,1.80e+02,3.75e+02
