Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),He Abundance (/cc),STD (/cc)
2014,03,21,18,56,11.21,456.32,-1699.34,-300.30, 47.58,-74.97,-9.69,11.40,2.87e+02,2.87e+02
2014,03,21,18,56,12.46,454.47,-1699.95,-299.57, 47.57,-75.03,-9.66,11.40,8.68e+02,4.99e+02
2014,03,21,18,56,13.71,452.62,-1700.56,-298.83, 47.56,-75.10,-9.64,11.39,8.68e+02,4.99e+02
2014,03,21,18,56,52.71,394.64,-1718.47,-275.60, 47.21,-77.07,-8.88,11.26,1.74e+03,7.08e+02
2014,03,21,18,57,8.46,371.07,-1725.07,-266.12, 47.08,-77.86,-8.58,11.21,1.45e+03,6.45e+02
2014,03,21,18,57,9.71,369.19,-1725.57,-265.37, 47.07,-77.92,-8.55,11.20,1.74e+03,7.08e+02
2014,03,21,18,57,10.96,367.32,-1726.08,-264.61, 47.06,-77.99,-8.53,11.20,1.45e+03,6.45e+02
2014,03,21,18,57,49.96,308.59,-1740.66,-240.87, 46.73,-79.95,-7.76,11.07,8.70e+02,5.00e+02
2014,03,21,18,58,5.70,284.77,-1745.89,-231.19, 46.60,-80.74,-7.45,11.02,8.70e+02,5.00e+02
2014,03,21,18,58,6.95,282.88,-1746.29,-230.42, 46.59,-80.80,-7.42,11.01,8.70e+02,5.00e+02
2014,03,21,18,58,8.20,280.98,-1746.68,-229.65, 46.58,-80.86,-7.40,11.01,2.04e+03,7.65e+02
2014,03,21,18,58,47.20,221.68,-1757.88,-205.45, 46.28,-82.81,-6.61,10.88,5.84e+02,4.10e+02
2014,03,21,18,59,2.95,197.65,-1761.75,-195.60, 46.16,-83.60,-6.30,10.83,8.72e+02,5.02e+02
2014,03,21,18,59,4.20,195.74,-1762.04,-194.82, 46.15,-83.66,-6.27,10.82,1.46e+03,6.48e+02
2014,03,21,18,59,5.45,193.83,-1762.32,-194.03, 46.14,-83.72,-6.25,10.82,5.84e+02,4.10e+02
2014,03,21,18,59,44.45,134.13,-1770.11,-169.45, 45.85,-85.67,-5.45,10.69,5.85e+02,4.11e+02
2014,03,21,19,00,0.19,109.98,-1772.59,-159.46, 45.74,-86.45,-5.13,10.64,8.74e+02,5.03e+02
2014,03,21,19,00,1.44,108.06,-1772.77,-158.67, 45.73,-86.51,-5.11,10.63,8.74e+02,5.03e+02
2014,03,21,19,00,2.69,106.14,-1772.95,-157.87, 45.72,-86.57,-5.08,10.63,1.46e+03,6.50e+02
2014,03,21,19,00,41.69, 46.21,-1777.29,-132.97, 45.46,-88.51,-4.28,10.50,1.76e+03,7.14e+02
2014,03,21,19,00,57.44, 21.98,-1778.38,-122.86, 45.35,-89.29,-3.95,10.45,2.64e+03,8.74e+02
2014,03,21,19,00,58.69, 20.06,-1778.45,-122.06, 45.34,-89.35,-3.93,10.44,1.46e+03,6.51e+02
2014,03,21,19,00,59.94, 18.14,-1778.52,-121.26, 45.34,-89.42,-3.90,10.44,1.46e+03,6.51e+02
2014,03,21,19,01,38.94,-41.86,-1779.41,-96.11, 45.09,-91.35,-3.09,10.31,1.18e+03,5.84e+02
2014,03,21,19,01,54.68,-66.06,-1779.10,-85.92, 45.00,-92.13,-2.76,10.26,1.77e+03,7.16e+02
2014,03,21,19,01,55.93,-67.98,-1779.06,-85.11, 44.99,-92.19,-2.74,10.26,1.77e+03,7.16e+02
2014,03,21,19,01,57.18,-69.91,-1779.01,-84.30, 44.98,-92.25,-2.71,10.25,1.18e+03,5.85e+02
2014,03,21,19,02,36.18,-129.79,-1776.45,-58.98, 44.76,-94.18,-1.90,10.12,8.81e+02,5.06e+02
2014,03,21,19,02,51.92,-153.92,-1774.74,-48.73, 44.67,-94.96,-1.57,10.07,1.77e+03,7.18e+02
2014,03,21,19,02,53.17,-155.83,-1774.59,-47.92, 44.67,-95.02,-1.54,10.07,2.06e+03,7.75e+02
2014,03,21,19,02,54.42,-157.75,-1774.44,-47.10, 44.66,-95.08,-1.51,10.06,2.06e+03,7.75e+02
2014,03,21,19,03,33.42,-217.36,-1768.42,-21.68, 44.46,-97.01,-0.70, 9.94,3.25e+03,9.74e+02
2014,03,21,19,03,49.17,-241.35,-1765.32,-11.40, 44.38,-97.79,-0.37, 9.88,1.18e+03,5.88e+02
2014,03,21,19,03,50.42,-243.26,-1765.06,-10.58, 44.37,-97.85,-0.34, 9.88,2.07e+03,7.77e+02
2014,03,21,19,03,51.67,-245.16,-1764.79, -9.77, 44.37,-97.91,-0.31, 9.88,2.37e+03,8.32e+02
2014,03,21,19,04,30.67,-304.32,-1755.34, 15.69, 44.19,-99.84, 0.50, 9.75,5.93e+02,4.17e+02
2014,03,21,19,04,46.41,-328.09,-1750.86, 25.96, 44.12,-100.61, 0.84, 9.70,5.93e+02,4.17e+02
2014,03,21,19,04,47.66,-329.97,-1750.49, 26.78, 44.12,-100.68, 0.86, 9.69,8.86e+02,5.10e+02
2014,03,21,19,04,48.91,-331.85,-1750.11, 27.59, 44.11,-100.74, 0.89, 9.69,1.19e+03,5.90e+02
2014,03,21,19,05,27.91,-390.40,-1737.24, 53.01, 43.96,-102.67, 1.71, 9.56,5.94e+02,4.18e+02
2014,03,21,19,05,43.66,-413.90,-1731.39, 63.26, 43.90,-103.44, 2.04, 9.51,5.95e+02,4.18e+02
2014,03,21,19,05,44.91,-415.76,-1730.91, 64.07, 43.90,-103.51, 2.06, 9.51,1.48e+03,6.60e+02
2014,03,21,19,05,46.16,-417.62,-1730.43, 64.88, 43.89,-103.57, 2.09, 9.50,8.89e+02,5.11e+02
