Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),He Abundance (/cc),STD (/cc)
2014,04,02,06,37,13.36,1644.30,-517.46,457.29, 46.02,-17.47,14.86, 0.58,1.41e+04,2.07e+03
2014,04,02,06,37,14.61,1643.89,-519.42,456.70, 46.07,-17.53,14.84, 0.58,1.59e+04,2.20e+03
2014,04,02,06,37,15.86,1643.48,-521.38,456.11, 46.11,-17.60,14.82, 0.57,1.56e+04,2.18e+03
2014,04,02,06,37,54.86,1629.62,-582.18,437.47, 47.53,-19.66,14.19, 0.44,1.63e+04,2.22e+03
2014,04,02,06,38,10.61,1623.41,-606.52,429.78, 48.11,-20.49,13.93, 0.38,1.20e+04,1.91e+03
2014,04,02,06,38,11.86,1622.90,-608.44,429.17, 48.15,-20.55,13.91, 0.38,2.00e+04,2.46e+03
2014,04,02,06,38,13.11,1622.39,-610.37,428.55, 48.20,-20.62,13.89, 0.37,1.41e+04,2.07e+03
2014,04,02,06,38,52.11,1605.38,-670.01,409.08, 49.64,-22.65,13.23, 0.24,1.54e+04,2.16e+03
2014,04,02,06,39,7.85,1597.91,-693.84,401.07, 50.22,-23.47,12.97, 0.18,1.45e+04,2.10e+03
2014,04,02,06,39,9.10,1597.31,-695.73,400.43, 50.27,-23.54,12.94, 0.18,1.41e+04,2.07e+03
2014,04,02,06,39,10.35,1596.70,-697.61,399.79, 50.32,-23.60,12.92, 0.17,9.23e+03,1.68e+03
2014,04,02,06,39,49.35,1576.60,-755.94,379.54, 51.78,-25.62,12.25, 0.04,1.42e+04,2.08e+03
2014,04,02,06,40,5.10,1567.89,-779.22,371.22, 52.37,-26.43,11.97,23.98,1.48e+04,2.12e+03
2014,04,02,06,40,6.35,1567.19,-781.06,370.56, 52.42,-26.49,11.95,23.98,1.48e+04,2.12e+03
2014,04,02,06,40,7.60,1566.48,-782.90,369.89, 52.46,-26.55,11.93,23.98,1.36e+04,2.03e+03
2014,04,02,06,40,46.60,1543.36,-839.75,348.93, 53.94,-28.55,11.23,23.84,1.42e+04,2.08e+03
2014,04,02,06,41,2.34,1533.46,-862.39,340.34, 54.54,-29.35,10.95,23.79,1.33e+04,2.01e+03
2014,04,02,06,41,3.59,1532.66,-864.18,339.66, 54.59,-29.42,10.93,23.79,1.42e+04,2.08e+03
2014,04,02,06,41,4.84,1531.86,-865.96,338.97, 54.63,-29.48,10.90,23.78,1.58e+04,2.19e+03
2014,04,02,06,41,43.84,1505.80,-921.18,317.35, 56.12,-31.46,10.19,23.65,1.39e+04,2.06e+03
2014,04,02,06,41,59.58,1494.72,-943.14,308.51, 56.72,-32.25, 9.90,23.60,1.27e+04,1.97e+03
2014,04,02,06,42,0.83,1493.83,-944.87,307.80, 56.77,-32.31, 9.88,23.59,1.27e+04,1.97e+03
2014,04,02,06,42,2.08,1492.93,-946.60,307.10, 56.82,-32.38, 9.86,23.59,1.67e+04,2.26e+03
2014,04,02,06,42,41.08,1464.01,-1000.04,284.89, 58.31,-34.34, 9.13,23.46,1.21e+04,1.93e+03
2014,04,02,06,42,56.83,1451.79,-1021.26,275.81, 58.91,-35.12, 8.83,23.41,1.55e+04,2.18e+03
2014,04,02,06,42,58.08,1450.81,-1022.94,275.09, 58.96,-35.19, 8.81,23.40,1.46e+04,2.12e+03
2014,04,02,06,42,59.33,1449.82,-1024.61,274.37, 59.01,-35.25, 8.79,23.40,1.30e+04,2.00e+03
2014,04,02,06,43,38.33,1418.13,-1076.13,251.63, 60.51,-37.19, 8.05,23.27,1.28e+04,1.98e+03
2014,04,02,06,43,54.07,1404.82,-1096.53,242.36, 61.11,-37.97, 7.74,23.22,1.06e+04,1.80e+03
2014,04,02,06,43,55.32,1403.75,-1098.14,241.62, 61.16,-38.04, 7.72,23.21,1.03e+04,1.78e+03
2014,04,02,06,43,56.57,1402.68,-1099.75,240.88, 61.21,-38.10, 7.70,23.21,8.09e+03,1.58e+03
2014,04,02,06,44,35.57,1368.32,-1149.21,217.68, 62.70,-40.03, 6.95,23.08,1.68e+04,2.28e+03
2014,04,02,06,44,51.32,1353.94,-1168.76,208.23, 63.30,-40.80, 6.64,23.03,1.56e+04,2.19e+03
2014,04,02,06,44,52.57,1352.79,-1170.31,207.48, 63.35,-40.86, 6.62,23.02,1.15e+04,1.89e+03
2014,04,02,06,44,53.82,1351.63,-1171.85,206.73, 63.40,-40.92, 6.59,23.02,1.25e+04,1.96e+03
2014,04,02,06,45,32.82,1314.71,-1219.12,183.13, 64.89,-42.84, 5.83,22.89,1.06e+04,1.81e+03
