Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),He Abundance (/cc),STD (/cc)
2014,02,27,08,33,45.38,-1543.21,876.47,202.74, 48.88,150.41, 6.52, 8.23,2.50e+03,8.30e+02
2014,02,27,08,33,46.63,-1542.14,878.10,203.51, 48.85,150.34, 6.54, 8.22,8.32e+02,4.78e+02
2014,02,27,08,33,47.88,-1541.07,879.74,204.27, 48.81,150.28, 6.57, 8.22,1.95e+03,7.32e+02
2014,02,27,08,34,26.88,-1506.54,930.14,228.00, 47.76,148.31, 7.34, 8.09,4.73e+03,1.14e+03
2014,02,27,08,34,42.62,-1492.03,950.13,237.49, 47.35,147.51, 7.65, 8.03,1.67e+03,6.79e+02
2014,02,27,08,34,43.87,-1490.87,951.71,238.24, 47.31,147.45, 7.67, 8.03,1.12e+03,5.54e+02
2014,02,27,08,34,45.12,-1489.70,953.29,238.99, 47.28,147.38, 7.70, 8.03,3.06e+03,9.18e+02
2014,02,27,08,35,24.12,-1452.27,1001.86,262.27, 46.31,145.40, 8.46, 7.90,2.79e+03,8.77e+02
2014,02,27,08,35,39.87,-1436.61,1021.11,271.57, 45.93,144.60, 8.76, 7.84,1.67e+03,6.80e+02
2014,02,27,08,35,41.12,-1435.35,1022.63,272.31, 45.90,144.53, 8.78, 7.84,1.95e+03,7.33e+02
2014,02,27,08,35,42.37,-1434.09,1024.14,273.04, 45.87,144.47, 8.81, 7.83,2.51e+03,8.32e+02
2014,02,27,08,36,21.37,-1393.86,1070.75,295.81, 44.98,142.47, 9.55, 7.70,3.91e+03,1.04e+03
2014,02,27,08,36,37.11,-1377.10,1089.17,304.88, 44.63,141.66, 9.85, 7.65,1.68e+03,6.81e+02
2014,02,27,08,36,38.36,-1375.76,1090.62,305.60, 44.61,141.59, 9.87, 7.64,1.12e+03,5.56e+02
2014,02,27,08,36,39.61,-1374.41,1092.07,306.32, 44.58,141.53, 9.90, 7.64,2.51e+03,8.33e+02
2014,02,27,08,37,18.61,-1331.49,1136.57,328.50, 43.77,139.52,10.63, 7.51,3.08e+03,9.22e+02
2014,02,27,08,37,34.36,-1313.65,1154.12,337.34, 43.46,138.70,10.92, 7.45,3.08e+03,9.23e+02
2014,02,27,08,37,35.61,-1312.22,1155.50,338.03, 43.44,138.63,10.94, 7.45,2.52e+03,8.35e+02
2014,02,27,08,37,36.86,-1310.79,1156.88,338.73, 43.42,138.57,10.97, 7.45,3.92e+03,1.04e+03
2014,02,27,08,38,15.86,-1265.30,1199.15,360.27, 42.70,136.54,11.68, 7.31,3.93e+03,1.04e+03
2014,02,27,08,38,31.60,-1246.46,1215.76,368.82, 42.42,135.71,11.96, 7.26,3.93e+03,1.04e+03
2014,02,27,08,38,32.85,-1244.95,1217.07,369.50, 42.40,135.65,11.98, 7.25,1.96e+03,7.38e+02
2014,02,27,08,38,34.10,-1243.44,1218.38,370.18, 42.38,135.58,12.00, 7.25,1.96e+03,7.38e+02
2014,02,27,08,39,13.10,-1195.50,1258.28,391.00, 41.75,133.53,12.70, 7.11,2.25e+03,7.91e+02
2014,02,27,08,39,28.84,-1175.69,1273.92,399.26, 41.51,132.70,12.97, 7.06,2.82e+03,8.85e+02
2014,02,27,08,39,30.09,-1174.11,1275.15,399.91, 41.49,132.64,12.99, 7.05,3.38e+03,9.70e+02
2014,02,27,08,39,31.34,-1172.52,1276.37,400.57, 41.47,132.57,13.01, 7.05,3.94e+03,1.05e+03
2014,02,27,08,40,10.34,-1122.27,1313.80,420.62, 40.93,130.50,13.68, 6.91,5.08e+03,1.19e+03
2014,02,27,08,40,26.09,-1101.54,1328.42,428.57, 40.73,129.67,13.95, 6.86,5.65e+03,1.26e+03
2014,02,27,08,40,27.34,-1099.89,1329.57,429.19, 40.72,129.60,13.97, 6.85,2.83e+03,8.88e+02
2014,02,27,08,40,28.59,-1098.23,1330.71,429.82, 40.70,129.53,13.99, 6.85,5.36e+03,1.22e+03
2014,02,27,08,41,7.59,-1045.80,1365.55,449.05, 40.26,127.45,14.63, 6.71,3.68e+03,1.01e+03
2014,02,27,08,41,23.33,-1024.24,1379.09,456.64, 40.10,126.60,14.89, 6.66,6.23e+03,1.32e+03
2014,02,27,08,41,24.58,-1022.52,1380.16,457.24, 40.08,126.53,14.91, 6.65,7.08e+03,1.41e+03
2014,02,27,08,41,25.83,-1020.80,1381.22,457.84, 40.07,126.47,14.93, 6.65,7.08e+03,1.41e+03
2014,02,27,08,42,4.83,-966.34,1413.36,476.18, 39.72,124.36,15.54, 6.51,5.39e+03,1.23e+03
2014,02,27,08,42,20.58,-943.98,1425.81,483.41, 39.60,123.51,15.79, 6.45,7.10e+03,1.41e+03
2014,02,27,08,42,21.83,-942.20,1426.78,483.98, 39.59,123.44,15.80, 6.45,5.40e+03,1.23e+03
2014,02,27,08,42,23.08,-940.42,1427.75,484.55, 39.58,123.37,15.82, 6.44,3.98e+03,1.06e+03
2014,02,27,08,43,2.08,-884.10,1457.11,501.96, 39.32,121.25,16.41, 6.30,6.27e+03,1.33e+03
2014,02,27,08,43,17.82,-861.03,1468.40,508.79, 39.24,120.39,16.64, 6.25,8.26e+03,1.53e+03
2014,02,27,08,43,19.07,-859.19,1469.29,509.33, 39.23,120.32,16.66, 6.24,7.98e+03,1.50e+03
2014,02,27,08,43,20.32,-857.35,1470.17,509.87, 39.23,120.25,16.68, 6.24,9.69e+03,1.65e+03
2014,02,27,08,43,59.32,-799.32,1496.65,526.29, 39.07,118.11,17.23, 6.10,9.99e+03,1.68e+03
2014,02,27,08,44,15.07,-775.58,1506.77,532.72, 39.02,117.24,17.45, 6.04,8.86e+03,1.58e+03
2014,02,27,08,44,16.32,-773.69,1507.56,533.23, 39.02,117.17,17.47, 6.03,1.03e+04,1.70e+03
