Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),Ne Abundance (/cc),STD (/cc)
2014,03,28,15,59,20.61,-483.48,1569.74,649.77, 28.97,107.12,21.58, 5.14,0.00e+00,   NaN
2014,03,28,15,59,21.86,-481.45,1570.27,650.02, 28.98,107.05,21.59, 5.14,0.00e+00,   NaN
2014,03,28,15,59,23.11,-479.42,1570.80,650.27, 28.98,106.97,21.60, 5.13,0.00e+00,   NaN
2014,03,28,15,59,41.86,-448.89,1578.45,653.92, 29.13,105.87,21.73, 5.06,0.00e+00,   NaN
2014,03,28,16,00,17.85,-389.90,1591.75,660.35, 29.44,103.76,21.95, 4.92,0.00e+00,   NaN
2014,03,28,16,00,19.10,-387.84,1592.18,660.56, 29.45,103.69,21.95, 4.92,0.00e+00,   NaN
2014,03,28,16,00,20.35,-385.78,1592.60,660.76, 29.47,103.62,21.96, 4.91,0.00e+00,   NaN
2014,03,28,16,00,39.10,-354.85,1598.73,663.79, 29.65,102.51,22.06, 4.84,1.07e+04,8.25e+02
2014,03,28,16,01,15.09,-295.17,1609.09,669.00, 30.04,100.39,22.24, 4.70,9.12e+03,7.66e+02
2014,03,28,16,01,16.34,-293.09,1609.41,669.17, 30.06,100.32,22.25, 4.69,8.81e+03,7.53e+02
2014,03,28,16,01,17.59,-291.01,1609.74,669.33, 30.07,100.25,22.25, 4.69,9.49e+03,7.80e+02
2014,03,28,16,01,36.34,-259.77,1614.33,671.72, 30.29,99.14,22.33, 4.61,1.08e+04,8.28e+02
2014,03,28,16,02,12.34,-199.57,1621.72,675.71, 30.76,97.02,22.47, 4.47,1.07e+04,8.27e+02
2014,03,28,16,02,13.59,-197.48,1621.94,675.83, 30.78,96.94,22.47, 4.47,9.51e+03,7.83e+02
2014,03,28,16,02,14.84,-195.38,1622.17,675.96, 30.79,96.87,22.48, 4.46,9.51e+03,7.83e+02
2014,03,28,16,02,33.59,-163.92,1625.21,677.70, 31.06,95.76,22.53, 4.39,9.28e+03,7.75e+02
2014,03,28,16,03,9.58,-103.40,1629.61,680.46, 31.60,93.63,22.62, 4.25,9.44e+03,7.83e+02
2014,03,28,16,03,10.83,-101.30,1629.73,680.54, 31.62,93.56,22.63, 4.24,8.26e+03,7.35e+02
2014,03,28,16,03,12.08,-99.19,1629.85,680.62, 31.64,93.48,22.63, 4.24,7.89e+03,7.19e+02
2014,03,28,16,03,30.83,-67.61,1631.33,681.72, 31.94,92.37,22.66, 4.16,7.15e+03,6.88e+02
2014,03,28,16,04,6.83, -6.92,1632.75,683.23, 32.55,90.24,22.71, 4.02,7.68e+03,7.13e+02
2014,03,28,16,04,8.08, -4.81,1632.76,683.27, 32.57,90.17,22.71, 4.02,6.80e+03,6.74e+02
2014,03,28,16,04,9.33, -2.70,1632.78,683.30, 32.59,90.09,22.71, 4.01,8.56e+03,7.50e+02
2014,03,28,16,04,28.08, 28.92,1632.70,683.75, 32.93,88.99,22.72, 3.94,7.13e+03,6.90e+02
2014,03,28,16,05,4.07, 89.57,1631.13,684.02, 33.61,86.86,22.72, 3.80,6.60e+03,6.66e+02
2014,03,28,16,05,5.32, 91.68,1631.04,684.01, 33.64,86.78,22.72, 3.79,9.18e+03,7.77e+02
2014,03,28,16,05,6.57, 93.78,1630.95,684.01, 33.66,86.71,22.72, 3.79,7.67e+03,7.14e+02
2014,03,28,16,05,25.32,125.34,1629.32,683.81, 34.04,85.60,22.71, 3.71,7.36e+03,7.02e+02
2014,03,28,16,06,1.32,185.82,1624.76,682.83, 34.79,83.48,22.66, 3.57,7.64e+03,7.16e+02
2014,03,28,16,06,2.57,187.92,1624.57,682.78, 34.81,83.40,22.66, 3.57,6.12e+03,6.46e+02
2014,03,28,16,06,3.82,190.01,1624.38,682.74, 34.84,83.33,22.66, 3.56,6.95e+03,6.85e+02
2014,03,28,16,06,22.57,221.42,1621.20,681.89, 35.25,82.22,22.62, 3.49,8.14e+03,7.40e+02
2014,03,28,16,06,58.56,281.52,1613.68,679.68, 36.06,80.10,22.54, 3.35,7.55e+03,7.15e+02
2014,03,28,16,06,59.81,283.60,1613.39,679.59, 36.09,80.03,22.53, 3.34,7.55e+03,7.15e+02
2014,03,28,16,07,1.06,285.68,1613.09,679.49, 36.12,79.96,22.53, 3.34,6.02e+03,6.44e+02
2014,03,28,16,07,19.81,316.85,1608.37,678.01, 36.56,78.86,22.47, 3.26,6.88e+03,6.84e+02
2014,03,28,16,07,55.80,376.40,1597.92,674.56, 37.44,76.75,22.34, 3.12,6.65e+03,6.75e+02
2014,03,28,16,07,57.05,378.46,1597.53,674.43, 37.47,76.67,22.33, 3.12,5.31e+03,6.08e+02
2014,03,28,16,07,58.30,380.52,1597.13,674.30, 37.51,76.60,22.33, 3.11,6.46e+03,6.66e+02
2014,03,28,16,08,17.05,411.36,1590.89,672.17, 37.98,75.50,22.25, 3.04,6.41e+03,6.64e+02
2014,03,28,16,08,53.05,470.21,1577.54,667.51, 38.92,73.40,22.07, 2.90,4.42e+03,5.63e+02
2014,03,28,16,08,54.30,472.24,1577.04,667.34, 38.95,73.33,22.07, 2.89,6.61e+03,6.76e+02
2014,03,28,16,08,55.55,474.27,1576.55,667.16, 38.98,73.26,22.06, 2.89,6.16e+03,6.54e+02
2014,03,28,16,09,14.30,504.70,1568.81,664.41, 39.49,72.17,21.96, 2.82,5.13e+03,6.03e+02
2014,03,28,16,09,50.29,562.65,1552.61,658.55, 40.48,70.08,21.74, 2.68,5.54e+03,6.25e+02
2014,03,28,16,09,51.54,564.65,1552.02,658.33, 40.51,70.01,21.73, 2.67,6.26e+03,6.60e+02
2014,03,28,16,09,52.79,566.65,1551.42,658.11, 40.55,69.94,21.73, 2.67,4.19e+03,5.51e+02
2014,03,28,16,10,11.54,596.57,1542.21,654.74, 41.08,68.85,21.60, 2.59,4.65e+03,5.77e+02
2014,03,28,16,16,28.13,1146.99,1262.05,546.51, 53.42,47.73,17.77, 1.19,0.00e+00,1.50e+02
2014,03,28,16,16,33.63,1154.15,1256.72,544.40, 53.62,47.44,17.70, 1.17,0.00e+00,1.50e+02
2014,03,28,16,16,39.13,1161.27,1251.35,542.27, 53.82,47.14,17.62, 1.15,0.00e+00,1.51e+02
2014,03,28,16,16,44.63,1168.36,1245.95,540.13, 54.02,46.84,17.55, 1.13,0.00e+00,1.51e+02
2014,03,28,16,16,50.13,1175.43,1240.51,537.97, 54.22,46.54,17.47, 1.11,0.00e+00,1.51e+02
2014,03,28,16,16,55.63,1182.46,1235.05,535.81, 54.42,46.25,17.40, 1.09,0.00e+00,1.51e+02
2014,03,28,16,17,26.13,1220.89,1204.16,523.53, 55.54,44.60,16.98, 0.98,1.92e+03,4.13e+02
2014,03,28,16,17,27.38,1222.45,1202.87,523.02, 55.59,44.54,16.96, 0.97,2.12e+03,4.28e+02
2014,03,28,16,17,28.63,1224.00,1201.58,522.50, 55.64,44.47,16.94, 0.97,2.45e+03,4.53e+02
2014,03,28,16,17,47.38,1247.10,1182.07,514.73, 56.33,43.47,16.68, 0.90,2.38e+03,4.49e+02
2014,03,28,16,18,23.37,1290.38,1143.62,499.38, 57.68,41.55,16.15, 0.77,2.29e+03,4.36e+02
2014,03,28,16,18,24.62,1291.86,1142.26,498.84, 57.73,41.48,16.13, 0.77,2.35e+03,4.41e+02
2014,03,28,16,18,25.87,1293.34,1140.90,498.29, 57.78,41.42,16.12, 0.76,3.02e+03,4.88e+02
2014,03,28,16,18,44.62,1315.27,1120.32,490.06, 58.49,40.42,15.84, 0.70,2.44e+03,4.44e+02
2014,03,28,16,19,20.62,1356.28,1079.87,473.84, 59.86,38.53,15.29, 0.57,2.25e+03,4.29e+02
2014,03,28,16,19,21.87,1357.68,1078.44,473.27, 59.91,38.46,15.27, 0.57,2.18e+03,4.24e+02
2014,03,28,16,19,23.12,1359.07,1077.02,472.70, 59.96,38.40,15.25, 0.56,1.79e+03,3.92e+02
2014,03,28,16,19,41.87,1379.79,1055.43,464.03, 60.68,37.41,14.96, 0.50,1.50e+03,3.70e+02
2014,03,28,16,20,17.86,1418.40,1013.13,447.00, 62.07,35.54,14.38, 0.37,1.57e+03,3.76e+02
2014,03,28,16,20,19.11,1419.71,1011.64,446.40, 62.12,35.47,14.36, 0.37,1.71e+03,3.88e+02
2014,03,28,16,20,20.36,1421.02,1010.15,445.80, 62.17,35.41,14.34, 0.36,1.77e+03,3.93e+02
2014,03,28,16,20,39.11,1440.47,987.62,436.71, 62.90,34.44,14.04, 0.30,2.17e+03,4.27e+02
2014,03,28,16,21,15.11,1476.60,943.56,418.92, 64.30,32.58,13.44, 0.17,2.22e+03,4.32e+02
2014,03,28,16,21,16.36,1477.82,942.01,418.29, 64.35,32.51,13.42, 0.17,1.62e+03,3.84e+02
2014,03,28,16,21,17.61,1479.05,940.46,417.66, 64.40,32.45,13.40, 0.17,1.76e+03,3.95e+02
2014,03,28,16,21,36.36,1497.17,917.06,408.20, 65.14,31.49,13.09, 0.10,1.66e+03,3.83e+02
2014,03,28,16,22,12.35,1530.71,871.39,389.69, 66.56,29.65,12.48,23.98,1.92e+03,4.07e+02
2014,03,28,16,22,13.60,1531.84,869.79,389.04, 66.60,29.59,12.45,23.97,1.39e+03,3.61e+02
2014,03,28,16,22,14.85,1532.98,868.19,388.39, 66.65,29.52,12.43,23.97,1.65e+03,3.84e+02
2014,03,28,16,22,33.60,1549.73,843.98,378.56, 67.40,28.57,12.11,23.91,1.51e+03,3.74e+02
2014,03,28,16,23,9.59,1580.61,796.83,359.40, 68.82,26.75,11.48,23.79,1.59e+03,3.79e+02
2014,03,28,16,23,10.84,1581.65,795.17,358.72, 68.87,26.69,11.46,23.78,5.21e+02,2.70e+02
2014,03,28,16,23,12.09,1582.69,793.52,358.05, 68.92,26.63,11.43,23.78,1.46e+03,3.67e+02
2014,03,28,16,23,30.84,1598.04,768.58,347.90, 69.66,25.69,11.10,23.72,1.25e+03,3.48e+02
2014,03,28,16,24,6.84,1626.19,720.06,328.12, 71.09,23.88,10.45,23.60,1.05e+03,3.30e+02
2014,03,28,16,24,8.09,1627.14,718.36,327.43, 71.14,23.82,10.43,23.59,1.59e+03,3.80e+02
2014,03,28,16,24,9.34,1628.08,716.66,326.73, 71.19,23.76,10.41,23.59,1.39e+03,3.62e+02
2014,03,28,16,24,28.09,1641.98,691.05,316.28, 71.93,22.82,10.07,23.52,1.46e+03,3.70e+02
2014,03,28,16,25,4.08,1667.32,641.33,295.95, 73.36,21.04, 9.41,23.41,1.04e+03,3.34e+02
2014,03,28,16,25,5.33,1668.17,639.59,295.24, 73.41,20.98, 9.38,23.40,1.85e+03,4.06e+02
2014,03,28,16,25,6.58,1669.01,637.85,294.53, 73.46,20.92, 9.36,23.40,1.04e+03,3.34e+02
2014,03,28,16,25,25.33,1681.44,611.65,283.81, 74.20,19.99, 9.01,23.34,6.30e+02,2.92e+02
2014,03,28,16,26,1.33,1703.92,560.85,262.98, 75.62,18.22, 8.34,23.22,1.37e+03,3.66e+02
2014,03,28,16,26,2.58,1704.67,559.07,262.26, 75.67,18.16, 8.32,23.21,6.31e+02,2.90e+02
2014,03,28,16,26,3.83,1705.42,557.29,261.53, 75.72,18.10, 8.29,23.21,9.69e+02,3.27e+02
2014,03,28,16,26,22.58,1716.34,530.57,250.56, 76.46,17.18, 7.94,23.15,1.13e+03,3.38e+02
2014,03,28,16,26,58.57,1735.90,478.85,229.31, 77.88,15.42, 7.26,23.03,1.27e+03,3.52e+02
2014,03,28,16,26,59.82,1736.55,477.04,228.57, 77.93,15.36, 7.23,23.03,9.96e+02,3.25e+02
2014,03,28,16,27,1.07,1737.19,475.24,227.82, 77.97,15.30, 7.21,23.02,1.20e+03,3.45e+02
2014,03,28,16,27,19.82,1746.58,448.07,216.65, 78.71,14.39, 6.85,22.96,1.28e+03,3.52e+02
2014,03,28,16,27,55.82,1763.20,395.55,195.01, 80.11,12.64, 6.16,22.85,6.54e+02,2.90e+02
2014,03,28,16,27,57.07,1763.74,393.71,194.26, 80.16,12.58, 6.14,22.84,8.57e+02,3.12e+02
