Year,Month,Day,Hours,Minutes,Seconds,S/C X (km),S/C Y (km),S/C Z (km),Altitude (km),Longitude (deg),Latitude (deg),LMST(hh),Ar Abundance (/cc),STD (/cc)
2014,04,03,05,10,12.19,1481.09,649.68,674.18, 14.80,23.68,22.63, 4.10,1.01e+02,3.34e+01
2014,04,03,05,10,13.44,1481.94,647.73,674.21, 14.81,23.61,22.63, 4.09,1.74e+01,1.59e+01
2014,04,03,05,10,14.69,1482.78,645.78,674.23, 14.82,23.53,22.63, 4.09,3.84e+01,2.16e+01
2014,04,03,05,10,27.19,1491.15,626.27,674.39, 14.90,22.78,22.64, 4.04,2.79e+01,1.89e+01
2014,04,03,05,11,9.44,1517.83,559.65,674.23, 15.20,20.24,22.63, 3.87,1.02e+02,3.33e+01
2014,04,03,05,11,10.69,1518.59,557.66,674.21, 15.21,20.16,22.62, 3.86,7.42e+00,1.17e+01
2014,04,03,05,11,11.94,1519.34,555.68,674.18, 15.22,20.09,22.62, 3.86,3.90e+01,2.15e+01
2014,04,03,05,11,24.44,1526.71,535.77,673.91, 15.33,19.34,22.61, 3.81,0.00e+00,5.40e+00
2014,04,03,05,12,6.68,1550.01,467.95,672.26, 15.72,16.80,22.55, 3.64,7.05e+01,2.80e+01
2014,04,03,05,12,7.93,1550.66,465.93,672.19, 15.74,16.72,22.55, 3.63,7.72e+00,1.16e+01
2014,04,03,05,12,9.18,1551.31,463.91,672.13, 15.75,16.65,22.54, 3.63,0.00e+00,5.20e+00
2014,04,03,05,12,21.68,1557.67,443.68,671.41, 15.88,15.90,22.52, 3.58,7.06e+01,2.80e+01
2014,04,03,05,13,3.93,1577.53,374.83,668.28, 16.37,13.37,22.40, 3.41,6.03e+01,2.60e+01
2014,04,03,05,13,5.18,1578.08,372.78,668.17, 16.38,13.29,22.39, 3.41,0.00e+00,5.19e+00
2014,04,03,05,13,6.43,1578.63,370.73,668.06, 16.40,13.22,22.39, 3.40,3.93e+01,2.15e+01
2014,04,03,05,13,18.93,1583.96,350.23,666.91, 16.56,12.47,22.35, 3.35,4.96e+01,2.38e+01
2014,04,03,05,14,1.17,1600.31,280.60,662.31, 17.14, 9.95,22.18, 3.18,2.85e+01,1.88e+01
2014,04,03,05,14,2.42,1600.76,278.53,662.16, 17.15, 9.87,22.17, 3.18,0.00e+00,5.45e+00
2014,04,03,05,14,3.67,1601.20,276.47,662.01, 17.17, 9.80,22.17, 3.17,9.14e+01,3.17e+01
2014,04,03,05,14,16.17,1605.49,255.76,660.42, 17.36, 9.05,22.11, 3.12,1.80e+01,1.58e+01
2014,04,03,05,14,58.41,1618.30,185.54,654.38, 18.03, 6.54,21.89, 2.96,7.00e+01,2.82e+01
2014,04,03,05,14,59.66,1618.64,183.46,654.18, 18.05, 6.47,21.88, 2.95,2.80e+01,1.90e+01
2014,04,03,05,15,0.91,1618.98,181.37,653.98, 18.07, 6.39,21.87, 2.95,1.76e+01,1.59e+01
2014,04,03,05,15,13.41,1622.22,160.53,651.97, 18.28, 5.65,21.80, 2.90,1.74e+01,1.60e+01
2014,04,03,05,15,55.66,1631.46, 89.91,644.49, 19.05, 3.15,21.53, 2.73,8.00e+01,3.03e+01
2014,04,03,05,15,56.91,1631.69, 87.82,644.26, 19.07, 3.08,21.52, 2.73,2.72e+01,1.92e+01
2014,04,03,05,15,58.16,1631.92, 85.72,644.02, 19.09, 3.01,21.51, 2.72,3.78e+01,2.19e+01
2014,04,03,05,16,10.66,1634.10, 64.79,641.59, 19.33, 2.27,21.42, 2.67,6.91e+01,2.85e+01
2014,04,03,05,16,52.90,1639.74, -5.98,632.70, 20.19,-0.21,21.10, 2.51,5.79e+01,2.67e+01
2014,04,03,05,16,54.15,1639.87, -8.07,632.42, 20.21,-0.28,21.09, 2.50,6.83e+01,2.87e+01
2014,04,03,05,16,55.40,1640.00,-10.17,632.14, 20.24,-0.36,21.08, 2.50,4.72e+01,2.46e+01
2014,04,03,05,17,7.90,1641.11,-31.11,629.30, 20.50,-1.09,20.98, 2.45,5.76e+01,2.68e+01
2014,04,03,05,17,50.15,1643.15,-101.86,619.03, 21.44,-3.55,20.61, 2.28,8.82e+01,3.25e+01
2014,04,03,05,17,51.40,1643.17,-103.95,618.71, 21.47,-3.62,20.60, 2.28,9.88e+01,3.42e+01
2014,04,03,05,17,52.65,1643.19,-106.04,618.39, 21.50,-3.69,20.58, 2.27,1.41e+02,4.02e+01
2014,04,03,05,18,5.15,1643.24,-126.95,615.15, 21.79,-4.42,20.47, 2.23,1.30e+02,3.88e+01
2014,04,03,05,18,47.39,1641.69,-197.43,603.54, 22.82,-6.86,20.05, 2.06,1.50e+02,4.18e+01
2014,04,03,05,18,48.64,1641.60,-199.51,603.18, 22.85,-6.93,20.04, 2.06,4.43e+01,2.53e+01
2014,04,03,05,18,49.89,1641.51,-201.59,602.82, 22.88,-7.00,20.03, 2.05,1.61e+02,4.31e+01
2014,04,03,05,19,2.39,1640.50,-222.39,599.18, 23.20,-7.72,19.90, 2.01,9.69e+01,3.46e+01
2014,04,03,05,19,44.64,1635.35,-292.43,586.26, 24.30,-10.14,19.44, 1.84,7.43e+01,3.16e+01
2014,04,03,05,19,45.89,1635.16,-294.50,585.86, 24.34,-10.21,19.42, 1.84,1.06e+01,1.82e+01
2014,04,03,05,19,47.14,1634.97,-296.56,585.47, 24.37,-10.28,19.41, 1.83,2.12e+02,4.94e+01
2014,04,03,05,19,59.64,1632.89,-317.19,581.45, 24.71,-10.99,19.27, 1.79,6.30e+01,2.99e+01
